K,avg_precision,avg_recall,avg_DCG,avg_nDCG
5,0.7,0.278952,5.663001,0.701062
10,0.675,0.508866,8.468892,0.744507
15,0.65,0.703121,10.565161,0.779377
20,0.6225,0.9,12.274139,0.817643
