K,avg_precision,avg_recall,avg_DCG,avg_nDCG
5,0.72,0.27537,5.634687,0.692762
10,0.66,0.475778,8.302743,0.725558
15,0.633333,0.682498,10.289381,0.763865
20,0.63,0.95,12.191173,0.822193
