K,avg_precision,avg_recall,avg_DCG,avg_nDCG
5,0.63,0.293513,5.331607,0.660214
10,0.605,0.521893,7.669458,0.662001
15,0.55,0.702589,9.497653,0.692494
20,0.5525,0.9,11.204603,0.733082
