K,avg_precision,avg_recall,avg_DCG,avg_nDCG
10,0.946667,0.22708,11.494558,0.893184
20,0.906667,0.432658,17.10662,0.881472
30,0.882222,0.628266,21.660463,0.887638
40,0.8625,0.818503,25.734905,0.915703
50,0.845333,1.0,29.4058,0.961999
