K,avg_highlight_precision,avg_highlight_recall,avg_highlight_f1,avg_quality
10,0.796667,0.230563,0.344977,2.213333
20,0.774917,0.441904,0.542304,2.133333
30,0.74668,0.632746,0.658663,2.054444
40,0.725559,0.807425,0.737976,1.999167
50,0.711349,0.983333,0.799069,1.965667
