query,K,precision,recall,DCG,nDCG
5G technology rollout and conspiracy theories,50,0.76,1.0,23.048678,0.976051
CRISPR gene editing and biotech innovation,10,1.0,0.25,9.087119,0.755021
CRISPR gene editing and biotech innovation,20,1.0,0.5,14.320349,0.840939
CRISPR gene editing and biotech innovation,30,0.866667,0.65,18.124549,0.852053
CRISPR gene editing and biotech innovation,40,0.825,0.825,21.58554,0.858937
CRISPR gene editing and biotech innovation,50,0.8,1.0,24.833574,0.921905
quantum computing and its practical applications,10,1.0,0.222222,11.693713,0.857897
quantum computing and its practical applications,20,1.0,0.444444,16.926943,0.88284
quantum computing and its practical applications,30,1.0,0.666667,21.371418,0.912688
quantum computing and its practical applications,40,0.95,0.844444,25.599969,0.938594
quantum computing and its practical applications,50,0.9,1.0,28.859145,0.96205
deepfake technology and synthetic media risks,10,0.5,0.208333,6.632285,0.729856
deepfake technology and synthetic media risks,20,0.5,0.416667,9.590322,0.681105
deepfake technology and synthetic media risks,30,0.5,0.625,11.928475,0.698364
deepfake technology and synthetic media risks,40,0.5,0.833333,14.24248,0.772105
deepfake technology and synthetic media risks,50,0.48,1.0,16.402306,0.889192
privacy concerns and surveillance capitalism,10,0.7,0.241379,8.126382,0.894275
privacy concerns and surveillance capitalism,20,0.65,0.448276,12.118382,0.860648
privacy concerns and surveillance capitalism,30,0.633333,0.655172,15.514741,0.85616
privacy concerns and surveillance capitalism,40,0.6,0.827586,18.412634,0.918301
privacy concerns and surveillance capitalism,50,0.58,1.0,20.943874,0.965994
autonomous self-driving cars and the future of transport,10,1.0,0.232558,10.007113,0.859074
autonomous self-driving cars and the future of transport,20,0.9,0.418605,14.718986,0.884441
autonomous self-driving cars and the future of transport,30,0.866667,0.604651,18.522029,0.886868
autonomous self-driving cars and the future of transport,40,0.875,0.813953,22.191732,0.896865
autonomous self-driving cars and the future of transport,50,0.86,1.0,25.627721,0.945558
remote work and the future of the office,10,1.0,0.2,13.630678,1.0
remote work and the future of the office,20,1.0,0.4,20.354526,0.963719
remote work and the future of the office,30,1.0,0.6,26.086524,0.949127
remote work and the future of the office,40,1.0,0.8,30.912267,0.96787
remote work and the future of the office,50,1.0,1.0,35.247331,0.991435
stock market crash and economic recession 2020,10,1.0,0.227273,13.026148,0.955649
stock market crash and economic recession 2020,20,1.0,0.454545,19.554142,0.925824
stock market crash and economic recession 2020,30,0.933333,0.636364,24.448461,0.889528
stock market crash and economic recession 2020,40,0.875,0.795455,28.88495,0.915714
stock market crash and economic recession 2020,50,0.88,1.0,33.392529,0.979674
gig economy and worker rights,10,1.0,0.25641,12.338266,0.969599
gig economy and worker rights,20,0.95,0.487179,17.375218,0.980624
gig economy and worker rights,30,0.9,0.692308,20.986009,0.955596
gig economy and worker rights,40,0.825,0.846154,23.505615,0.916991
gig economy and worker rights,50,0.78,1.0,25.850522,0.987177
startup fundraising and venture capital,10,0.9,0.230769,11.919921,0.874492
startup fundraising and venture capital,20,0.8,0.410256,17.151707,0.812076
startup fundraising and venture capital,30,0.766667,0.589744,21.609053,0.83026
startup fundraising and venture capital,40,0.775,0.794872,25.861812,0.870795
startup fundraising and venture capital,50,0.78,1.0,29.829833,0.952132
Amazon and big tech monopoly concerns,10,1.0,0.227273,10.587119,0.831986
Amazon and big tech monopoly concerns,20,1.0,0.454545,16.321904,0.921177
Amazon and big tech monopoly concerns,30,0.966667,0.659091,20.780041,0.946218
Amazon and big tech monopoly concerns,40,0.9,0.818182,24.063907,0.931985
Amazon and big tech monopoly concerns,50,0.88,1.0,27.311975,0.962986
personal finance and investing for beginners,10,0.9,0.272727,11.067789,0.811976
personal finance and investing for beginners,20,0.7,0.424242,15.607183,0.738948
personal finance and investing for beginners,30,0.7,0.636364,20.264751,0.791973
personal finance and investing for beginners,40,0.675,0.818182,23.726155,0.843989
personal finance and investing for beginners,50,0.66,1.0,26.807455,0.917812
cryptocurrency Bitcoin surge and institutional adoption,10,1.0,0.2,12.271123,0.900258
cryptocurrency Bitcoin surge and institutional adoption,20,1.0,0.4,17.777191,0.954526
cryptocurrency Bitcoin surge and institutional adoption,30,1.0,0.6,22.438141,0.981257
cryptocurrency Bitcoin surge and institutional adoption,40,1.0,0.8,26.297044,0.983964
cryptocurrency Bitcoin surge and institutional adoption,50,1.0,1.0,29.910444,0.985874
supply chain disruption and global trade,10,1.0,0.243902,9.420452,0.760218
supply chain disruption and global trade,20,0.9,0.439024,14.43602,0.830362
supply chain disruption and global trade,30,0.866667,0.634146,18.46962,0.853975
supply chain disruption and global trade,40,0.85,0.829268,22.325975,0.875984
supply chain disruption and global trade,50,0.82,1.0,25.394992,0.924164
universal basic income and wealth inequality,10,1.0,0.2,13.040583,0.956708
universal basic income and wealth inequality,20,1.0,0.4,18.802609,0.890241
universal basic income and wealth inequality,30,1.0,0.6,23.667622,0.93314
universal basic income and wealth inequality,40,1.0,0.8,28.304626,0.968596
universal basic income and wealth inequality,50,1.0,1.0,32.282346,0.983147
women in leadership and the gender pay gap,10,1.0,0.204082,13.630678,1.0
women in leadership and the gender pay gap,20,1.0,0.408163,20.594609,0.975086
women in leadership and the gender pay gap,30,1.0,0.612245,25.889051,0.941943
women in leadership and the gender pay gap,40,1.0,0.816327,30.904346,0.961751
women in leadership and the gender pay gap,50,0.98,1.0,35.052509,0.990345
mental health during quarantine and isolation,10,0.9,0.225,9.154261,0.7606
mental health during quarantine and isolation,20,0.85,0.425,13.900278,0.816271
mental health during quarantine and isolation,30,0.866667,0.65,17.930157,0.842914
mental health during quarantine and isolation,40,0.85,0.85,21.60628,0.859762
mental health during quarantine and isolation,50,0.8,1.0,24.315608,0.920849
sleep science and improving sleep quality,10,1.0,0.2,12.338266,0.905184
sleep science and improving sleep quality,20,1.0,0.4,18.815821,0.890867
sleep science and improving sleep quality,30,1.0,0.6,24.116006,0.904399
sleep science and improving sleep quality,40,1.0,0.8,28.745029,0.941715
sleep science and improving sleep quality,50,1.0,1.0,33.261565,0.97434
mindfulness meditation and stress reduction,10,1.0,0.2,13.630678,1.0
mindfulness meditation and stress reduction,20,1.0,0.4,20.850567,0.987205
mindfulness meditation and stress reduction,30,1.0,0.6,26.8004,0.975101
mindfulness meditation and stress reduction,40,1.0,0.8,32.203245,0.967846
mindfulness meditation and stress reduction,50,1.0,1.0,37.442302,0.995237
addiction recovery and substance abuse,10,1.0,0.212766,12.996315,0.953461
addiction recovery and substance abuse,20,1.0,0.425532,19.463471,0.921531
addiction recovery and substance abuse,30,1.0,0.638298,24.974262,0.908659
addiction recovery and substance abuse,40,0.975,0.829787,29.408338,0.938255
addiction recovery and substance abuse,50,0.94,1.0,33.737286,0.98001
diet culture and body positivity movement,10,1.0,0.2,12.293997,0.901936
diet culture and body positivity movement,20,1.0,0.4,19.062933,0.902567
diet culture and body positivity movement,30,1.0,0.6,24.801891,0.902388
diet culture and body positivity movement,40,1.0,0.8,29.63362,0.939448
diet culture and body positivity movement,50,1.0,1.0,34.333101,0.976564
long COVID symptoms and post-viral fatigue,10,0.5,0.2,7.461373,0.821093
long COVID symptoms and post-viral fatigue,20,0.55,0.44,10.953463,0.777915
long COVID symptoms and post-viral fatigue,30,0.5,0.6,13.502844,0.780812
long COVID symptoms and post-viral fatigue,40,0.55,0.88,16.586164,0.862838
long COVID symptoms and post-viral fatigue,50,0.5,1.0,18.570852,0.939074
therapy and the stigma around seeking help,10,1.0,0.208333,12.68085,0.930317
therapy and the stigma around seeking help,20,0.95,0.395833,18.673435,0.884125
therapy and the stigma around seeking help,30,0.966667,0.604167,24.203315,0.900647
therapy and the stigma around seeking help,40,0.975,0.8125,29.026238,0.944491
therapy and the stigma around seeking help,50,0.96,1.0,33.188407,0.976357
exercise science and high intensity interval training,10,1.0,0.212766,13.630678,1.0
exercise science and high intensity interval training,20,1.0,0.425532,21.120805,1.0
exercise science and high intensity interval training,30,1.0,0.638298,27.484743,1.0
exercise science and high intensity interval training,40,0.95,0.808511,32.118127,0.965288
exercise science and high intensity interval training,50,0.94,1.0,37.003556,0.997672
gut health microbiome and its effect on mood,10,1.0,0.2,13.341613,0.978793
gut health microbiome and its effect on mood,20,1.0,0.4,19.067018,0.90276
gut health microbiome and its effect on mood,30,1.0,0.6,24.591002,0.915074
gut health microbiome and its effect on mood,40,1.0,0.8,29.017716,0.944214
gut health microbiome and its effect on mood,50,1.0,1.0,33.71693,0.981697
burnout and chronic workplace stress,10,1.0,0.263158,11.96419,0.87774
burnout and chronic workplace stress,20,0.8,0.421053,16.742728,0.829401
burnout and chronic workplace stress,30,0.766667,0.605263,20.775362,0.850433
burnout and chronic workplace stress,40,0.75,0.789474,24.417153,0.874743
burnout and chronic workplace stress,50,0.76,1.0,28.385848,0.955103
true crime investigations and criminal psychology,10,0.9,0.195652,11.104809,0.814692
true crime investigations and criminal psychology,20,0.85,0.369565,16.299031,0.797942
true crime investigations and criminal psychology,30,0.9,0.586957,20.754403,0.841316
true crime investigations and criminal psychology,40,0.925,0.804348,25.583046,0.896774
true crime investigations and criminal psychology,50,0.92,1.0,29.567229,0.940713
social media addiction and its effects on teenagers,10,1.0,0.2,12.652073,0.928206
social media addiction and its effects on teenagers,20,1.0,0.4,18.37377,0.879417
social media addiction and its effects on teenagers,30,1.0,0.6,23.685594,0.942307
social media addiction and its effects on teenagers,40,1.0,0.8,27.93161,0.963336
social media addiction and its effects on teenagers,50,1.0,1.0,31.911502,0.978638
diversity and inclusion in the workplace,10,1.0,0.208333,13.630678,1.0
diversity and inclusion in the workplace,20,1.0,0.416667,20.893135,0.989221
diversity and inclusion in the workplace,30,1.0,0.625,25.992878,0.94572
diversity and inclusion in the workplace,40,0.975,0.8125,30.999076,0.953267
diversity and inclusion in the workplace,50,0.96,1.0,35.516566,0.992673
cancel culture and free speech debate,10,1.0,0.212766,10.051382,0.737409
cancel culture and free speech debate,20,1.0,0.425532,15.542858,0.822241
cancel culture and free speech debate,30,1.0,0.638298,20.195125,0.872523
cancel culture and free speech debate,40,0.975,0.829787,24.439383,0.905009
cancel culture and free speech debate,50,0.94,1.0,28.055788,0.932508
parenting advice and raising children,10,0.8,0.222222,11.998269,0.88024
parenting advice and raising children,20,0.85,0.472222,17.713775,0.867202
parenting advice and raising children,30,0.766667,0.638889,21.096865,0.855198
parenting advice and raising children,40,0.75,0.833333,25.143448,0.905301
parenting advice and raising children,50,0.72,1.0,28.213554,0.959515
feminism and gender equality in 2020,10,1.0,0.222222,12.37735,0.908051
feminism and gender equality in 2020,20,0.95,0.422222,19.125778,0.905542
feminism and gender equality in 2020,30,0.966667,0.644444,24.637504,0.946619
feminism and gender equality in 2020,40,0.9,0.8,28.308213,0.947215
feminism and gender equality in 2020,50,0.9,1.0,31.741582,0.973415
religion spirituality and finding meaning in life,10,0.9,0.204545,10.419109,0.764387
religion spirituality and finding meaning in life,20,0.9,0.409091,16.112075,0.828984
religion spirituality and finding meaning in life,30,0.933333,0.636364,20.56501,0.868508
religion spirituality and finding meaning in life,40,0.9,0.818182,24.231491,0.879947
