K,avg_highlight_precision,avg_highlight_recall,avg_highlight_f1,avg_quality
5,0.678333,0.465991,0.500728,1.61
10,0.684464,0.695042,0.665339,1.595714
15,0.6746,0.855481,0.738928,1.567509
20,0.669107,0.936779,0.767848,1.542188
